chrom	start	end	num	list	/hpc/pmc_drost/PROJECTS/swang/CUT_RUN/nhung_test/peakCalling/SCC-ChIC-PMC-DRO-T1/narrow/SCC-ChIC-PMC-DRO-T1_paired_control_peaks.narrowPeak	/hpc/pmc_drost/PROJECTS/swang/CUT_RUN/nhung_test/peakCalling/SCC-ChIC-PMC-DRO-T5/narrow/SCC-ChIC-PMC-DRO-T5_paired_control_peaks.narrowPeak	/hpc/pmc_drost/PROJECTS/swang/CUT_RUN/nhung_test/peakCalling/bulkChIC-PMC-DRO-016/narrow/bulkChIC-PMC-DRO-016_paired_control_peaks.narrowPeak	/hpc/pmc_drost/PROJECTS/swang/CUT_RUN/nhung_test/peakCalling/SCC-bulkChIC-PMC-DRO-008/narrow/SCC-bulkChIC-PMC-DRO-008_paired_control_peaks.narrowPeak
KI270735.1	14317	14759	1	4	0	0	0	1
KI270736.1	47258	47551	1	4	0	0	0	1
KI270736.1	56615	56724	1	3	0	0	1	0
KI270736.1	56724	57056	2	3,4	0	0	1	1
KI270736.1	57056	57073	1	3	0	0	1	0
KI270736.1	61690	62010	1	4	0	0	0	1
KI270736.1	62205	62476	1	3	0	0	1	0
KI270736.1	69197	69795	1	4	0	0	0	1
KI270736.1	72130	72423	1	4	0	0	0	1
KI270736.1	80928	81201	1	3	0	0	1	0
KI270736.1	88882	89155	1	4	0	0	0	1
KI270736.1	91644	92279	1	4	0	0	0	1
KI270736.1	105957	106431	1	4	0	0	0	1
KI270736.1	109623	110054	1	4	0	0	0	1
KI270736.1	110620	111147	1	4	0	0	0	1
KI270736.1	111792	112192	1	4	0	0	0	1
KI270736.1	127242	127718	1	3	0	0	1	0
KI270736.1	137708	138001	1	3	0	0	1	0
KI270736.1	149906	150330	1	4	0	0	0	1
KI270736.1	155561	155938	1	4	0	0	0	1
KI270736.1	166246	166640	1	3	0	0	1	0
KI270737.1	73347	73625	1	3	0	0	1	0
KI270738.1	32174	32458	1	3	0	0	1	0
KI270738.1	37174	37506	1	4	0	0	0	1
KI270738.1	39573	40311	1	4	0	0	0	1
KI270738.1	42999	43468	1	4	0	0	0	1
KI270738.1	59941	60706	1	4	0	0	0	1
KI270738.1	61593	61955	1	4	0	0	0	1
KI270738.1	62570	63176	1	4	0	0	0	1
KI270738.1	69849	70409	1	4	0	0	0	1
KI270738.1	70992	71527	1	3	0	0	1	0
KI270738.1	71874	72154	1	3	0	0	1	0
KI270744.1	108135	108813	1	4	0	0	0	1
KI270744.1	110687	111204	1	4	0	0	0	1
KI270750.1	13220	13482	1	3	0	0	1	0
KI270751.1	149763	150066	1	4	0	0	0	1
KI270756.1	1921	2452	1	4	0	0	0	1
KI270756.1	4878	5666	1	4	0	0	0	1
KI270756.1	17043	17526	1	4	0	0	0	1
KI270756.1	21725	22027	1	4	0	0	0	1
KI270756.1	22663	22978	1	4	0	0	0	1
KI270757.1	65706	66234	1	3	0	0	1	0
chr1	633060	633630	1	4	0	0	0	1
chr1	1038588	1038843	1	3	0	0	1	0
chr1	1079502	1079877	1	4	0	0	0	1
chr1	1156343	1156780	1	4	0	0	0	1
chr1	1758407	1758970	1	4	0	0	0	1
chr1	2250483	2250795	1	4	0	0	0	1
chr1	2481260	2482173	1	4	0	0	0	1
chr1	2578257	2578960	1	4	0	0	0	1
chr1	2986217	2986515	1	4	0	0	0	1
chr1	3213450	3214166	1	4	0	0	0	1
chr1	3306826	3307440	1	4	0	0	0	1
chr1	3312951	3313483	1	4	0	0	0	1
chr1	3337513	3337830	1	4	0	0	0	1
chr1	3352515	3353167	1	4	0	0	0	1
chr1	3605181	3605472	1	4	0	0	0	1
chr1	3991057	3991381	1	4	0	0	0	1
chr1	4261449	4261728	1	4	0	0	0	1
chr1	4264150	4264446	1	4	0	0	0	1
chr1	4314709	4315015	1	4	0	0	0	1
chr1	4603134	4603639	1	4	0	0	0	1
chr1	4650290	4650625	1	4	0	0	0	1
chr1	4745531	4746010	1	4	0	0	0	1
chr1	4767387	4767811	1	4	0	0	0	1
chr1	4887188	4887529	1	4	0	0	0	1
chr1	5091453	5091960	1	4	0	0	0	1
chr1	5488252	5488555	1	3	0	0	1	0
chr1	5624641	5624961	1	4	0	0	0	1
chr1	5920954	5921791	1	3	0	0	1	0
chr1	6026025	6026554	1	4	0	0	0	1
chr1	6127483	6127793	1	4	0	0	0	1
chr1	6273454	6273822	1	4	0	0	0	1
chr1	6385492	6385810	1	4	0	0	0	1
chr1	6515878	6516317	1	4	0	0	0	1
chr1	6519781	6520148	1	4	0	0	0	1
chr1	6603391	6603687	1	4	0	0	0	1
chr1	6653639	6654520	1	4	0	0	0	1
chr1	6711188	6711473	1	4	0	0	0	1
chr1	6884596	6885179	1	4	0	0	0	1
chr1	7032437	7032813	1	4	0	0	0	1
chr1	7082592	7082957	1	4	0	0	0	1
chr1	7265972	7266603	1	4	0	0	0	1
chr1	7267679	7268146	1	4	0	0	0	1
chr1	7303385	7303720	1	3	0	0	1	0
chr1	7362177	7362520	1	4	0	0	0	1
chr1	7387326	7387642	1	4	0	0	0	1
chr1	7397246	7397811	1	4	0	0	0	1
chr1	7401634	7402199	1	4	0	0	0	1
chr1	7469065	7469839	1	4	0	0	0	1
chr1	7506939	7507253	1	3	0	0	1	0
chr1	7539825	7539918	1	4	0	0	0	1
chr1	7539918	7540143	2	3,4	0	0	1	1
chr1	7540143	7540190	1	3	0	0	1	0
chr1	7569361	7570028	1	4	0	0	0	1
chr1	7594457	7594926	1	4	0	0	0	1
chr1	7845602	7845919	1	4	0	0	0	1
chr1	8042348	8042851	1	4	0	0	0	1
chr1	8154512	8155596	1	4	0	0	0	1
chr1	8169519	8170319	1	4	0	0	0	1
chr1	8239291	8239595	1	4	0	0	0	1
chr1	8540248	8540819	1	4	0	0	0	1
chr1	8541137	8541566	1	4	0	0	0	1
chr1	8551351	8552114	1	4	0	0	0	1
chr1	8572047	8572343	1	4	0	0	0	1
chr1	8603895	8604430	1	4	0	0	0	1
chr1	8670986	8671291	1	4	0	0	0	1
chr1	8740035	8740327	1	4	0	0	0	1
chr1	8852829	8853107	1	4	0	0	0	1
chr1	8903780	8904318	1	4	0	0	0	1
chr1	8924928	8925237	1	4	0	0	0	1
chr1	8989823	8990146	1	4	0	0	0	1
chr1	9034698	9034986	1	4	0	0	0	1
chr1	9067183	9067563	1	4	0	0	0	1
chr1	9163765	9164283	1	4	0	0	0	1
chr1	9302922	9303776	1	4	0	0	0	1
chr1	9314995	9316026	1	4	0	0	0	1
chr1	9441203	9441487	1	4	0	0	0	1
chr1	9476696	9476715	1	4	0	0	0	1
chr1	9476715	9477001	2	3,4	0	0	1	1
chr1	9477001	9477429	1	4	0	0	0	1
chr1	9500775	9501093	1	4	0	0	0	1
chr1	9561259	9561983	1	4	0	0	0	1
chr1	9671217	9671851	1	4	0	0	0	1
chr1	9699338	9699637	1	4	0	0	0	1
chr1	9809053	9809354	1	4	0	0	0	1
chr1	9892643	9893043	1	4	0	0	0	1
chr1	10011218	10011641	1	4	0	0	0	1
chr1	10172344	10172619	1	4	0	0	0	1
chr1	10185902	10186241	1	4	0	0	0	1
chr1	10253546	10254193	1	4	0	0	0	1
chr1	10599370	10599695	1	4	0	0	0	1
chr1	10605801	10606709	1	4	0	0	0	1
chr1	10661797	10662081	1	4	0	0	0	1
chr1	10685552	10686697	1	4	0	0	0	1
chr1	10737176	10737594	1	4	0	0	0	1
chr1	10870741	10871077	1	4	0	0	0	1
chr1	10900793	10901329	1	4	0	0	0	1
chr1	10975683	10976279	1	4	0	0	0	1
chr1	11126192	11126497	1	4	0	0	0	1
chr1	11180287	11180780	1	4	0	0	0	1
chr1	11246204	11246916	1	4	0	0	0	1
chr1	11340087	11340390	1	4	0	0	0	1
chr1	11367384	11367692	1	3	0	0	1	0
chr1	11707513	11707922	1	4	0	0	0	1
chr1	11735687	11736020	1	4	0	0	0	1
chr1	12046936	12047361	1	4	0	0	0	1
chr1	12143703	12144056	1	4	0	0	0	1
chr1	12165619	12165894	1	4	0	0	0	1
chr1	12362172	12362476	1	3	0	0	1	0
chr1	12385792	12386123	1	4	0	0	0	1
chr1	12386123	12386327	2	2,4	0	1	0	1
chr1	12386327	12386537	3	2,3,4	0	1	1	1
chr1	12386537	12386620	2	3,4	0	0	1	1
chr1	12386620	12386884	1	4	0	0	0	1
chr1	12387695	12388136	1	4	0	0	0	1
chr1	12416596	12417326	1	4	0	0	0	1
chr1	12446580	12446876	1	4	0	0	0	1
chr1	12454133	12455150	1	4	0	0	0	1
chr1	12477765	12478873	1	4	0	0	0	1
chr1	12480672	12480958	1	4	0	0	0	1
chr1	12514447	12514725	1	4	0	0	0	1
chr1	12539124	12539454	1	3	0	0	1	0
chr1	12549658	12550244	1	4	0	0	0	1
chr1	12757900	12758240	1	4	0	0	0	1
chr1	12851612	12852100	1	4	0	0	0	1
chr1	13852832	13853284	1	4	0	0	0	1
chr1	13954777	13955090	1	4	0	0	0	1
chr1	13992822	13993367	1	4	0	0	0	1
chr1	14005137	14005451	1	4	0	0	0	1
chr1	14017452	14018486	1	4	0	0	0	1
chr1	14018984	14019538	1	4	0	0	0	1
chr1	14071853	14072125	1	4	0	0	0	1
chr1	14174660	14175061	1	4	0	0	0	1
chr1	14190344	14190745	1	4	0	0	0	1
chr1	14190745	14190979	3	1,3,4	1	0	1	1
chr1	14190979	14191111	2	3,4	0	0	1	1
chr1	14191111	14191165	1	4	0	0	0	1
chr1	14195838	14196143	1	3	0	0	1	0
chr1	14268162	14268521	1	4	0	0	0	1
chr1	14304338	14304878	1	4	0	0	0	1
chr1	14309188	14309439	1	3	0	0	1	0
chr1	14443762	14444072	1	4	0	0	0	1
chr1	14465961	14466487	1	4	0	0	0	1
chr1	14507031	14507342	1	4	0	0	0	1
chr1	14543636	14543700	1	4	0	0	0	1
chr1	14543700	14543957	2	3,4	0	0	1	1
chr1	14553541	14553985	1	4	0	0	0	1
chr1	14577966	14578667	1	4	0	0	0	1
chr1	14731824	14732352	1	4	0	0	0	1
chr1	14759951	14760359	1	4	0	0	0	1
chr1	14778650	14778981	1	4	0	0	0	1
chr1	14871653	14872078	1	4	0	0	0	1
chr1	14876329	14876671	1	4	0	0	0	1
chr1	14880777	14881322	1	4	0	0	0	1
chr1	14929373	14929667	1	4	0	0	0	1
chr1	14929667	14929876	2	1,4	1	0	0	1
chr1	14929876	14930038	1	4	0	0	0	1
chr1	14955181	14955965	1	4	0	0	0	1
chr1	14961735	14962365	1	4	0	0	0	1
chr1	14963821	14964874	1	4	0	0	0	1
chr1	14968292	14968980	1	4	0	0	0	1
chr1	14970075	14970685	1	4	0	0	0	1
chr1	14996684	14997073	1	4	0	0	0	1
chr1	15023461	15024295	1	4	0	0	0	1
chr1	15028019	15028783	1	4	0	0	0	1
chr1	15089158	15089447	1	4	0	0	0	1
chr1	15090100	15090926	1	4	0	0	0	1
chr1	15112092	15112472	1	4	0	0	0	1
chr1	15172543	15172926	1	4	0	0	0	1
chr1	15173902	15174717	1	4	0	0	0	1
chr1	15200575	15201241	1	4	0	0	0	1
chr1	15703570	15704254	1	4	0	0	0	1
chr1	15796665	15796945	1	4	0	0	0	1
chr1	15798888	15799211	1	4	0	0	0	1
chr1	16076786	16077265	1	4	0	0	0	1
chr1	16078867	16079382	1	4	0	0	0	1
chr1	16089144	16089434	1	4	0	0	0	1
chr1	16122867	16123161	1	4	0	0	0	1
chr1	16717074	16718034	1	4	0	0	0	1
chr1	16720652	16721358	1	4	0	0	0	1
chr1	17097098	17097735	1	4	0	0	0	1
chr1	17127652	17128805	1	4	0	0	0	1
chr1	17160248	17160545	1	3	0	0	1	0
chr1	17226240	17226686	1	4	0	0	0	1
chr1	17233142	17234083	1	4	0	0	0	1
chr1	17250516	17250923	1	4	0	0	0	1
chr1	17292172	17292667	1	4	0	0	0	1
chr1	17297939	17298335	1	4	0	0	0	1
chr1	17369962	17370290	1	4	0	0	0	1
chr1	17370603	17371103	1	4	0	0	0	1
chr1	17377087	17377981	1	4	0	0	0	1
chr1	17494378	17494671	1	4	0	0	0	1
chr1	17559481	17560389	1	4	0	0	0	1
chr1	17565380	17565677	1	4	0	0	0	1
chr1	17569512	17570541	1	4	0	0	0	1
chr1	17586148	17586817	1	4	0	0	0	1
chr1	17599969	17600287	1	4	0	0	0	1
chr1	17696290	17696677	1	4	0	0	0	1
chr1	17717199	17718028	1	4	0	0	0	1
chr1	18339953	18340289	1	3	0	0	1	0
chr1	18452764	18453203	1	4	0	0	0	1
chr1	18470261	18470578	1	4	0	0	0	1
chr1	18480401	18480711	1	4	0	0	0	1
chr1	18508405	18508686	1	4	0	0	0	1
chr1	18518840	18519200	1	4	0	0	0	1
chr1	18539035	18539607	1	4	0	0	0	1
chr1	18802206	18802532	1	3	0	0	1	0
chr1	18858388	18859035	1	4	0	0	0	1
chr1	18879659	18879958	1	4	0	0	0	1
chr1	18938244	18938527	1	4	0	0	0	1
chr1	18965843	18966224	1	4	0	0	0	1
chr1	19009686	19010339	1	4	0	0	0	1
chr1	19028254	19028559	1	4	0	0	0	1
chr1	19089212	19089501	1	3	0	0	1	0
chr1	19100288	19100576	1	4	0	0	0	1
chr1	19110309	19111485	1	4	0	0	0	1
chr1	19113873	19114199	1	4	0	0	0	1
chr1	19552626	19553043	1	4	0	0	0	1
chr1	19737104	19737991	1	4	0	0	0	1
chr1	19738589	19739174	1	4	0	0	0	1
chr1	19757945	19758865	1	4	0	0	0	1
chr1	19764922	19765205	1	4	0	0	0	1
chr1	19819579	19819861	1	4	0	0	0	1
chr1	19824322	19824876	1	4	0	0	0	1
chr1	19849995	19850772	1	4	0	0	0	1
chr1	19866578	19866971	1	4	0	0	0	1
chr1	19926469	19927063	1	4	0	0	0	1
chr1	19938331	19938691	1	4	0	0	0	1
chr1	19948980	19949430	1	4	0	0	0	1
chr1	20032436	20032814	1	4	0	0	0	1
chr1	20096451	20096713	1	3	0	0	1	0
chr1	20105807	20106435	1	4	0	0	0	1
chr1	20114419	20114697	1	4	0	0	0	1
chr1	20211415	20211973	1	4	0	0	0	1
chr1	20267137	20267408	1	4	0	0	0	1
chr1	20315448	20315739	1	4	0	0	0	1
chr1	20414944	20415200	1	3	0	0	1	0
chr1	20426406	20427652	1	4	0	0	0	1
chr1	20459806	20460163	1	4	0	0	0	1
chr1	20578206	20578508	1	4	0	0	0	1
chr1	20612254	20612622	1	4	0	0	0	1
chr1	20732959	20733568	1	4	0	0	0	1
chr1	20830196	20831033	1	4	0	0	0	1
chr1	20875555	20875758	2	2,4	0	1	0	1
chr1	20875758	20876308	1	4	0	0	0	1
chr1	20982072	20982364	1	4	0	0	0	1
chr1	21076350	21076386	1	3	0	0	1	0
chr1	21076386	21076694	2	3,4	0	0	1	1
chr1	21076694	21076723	1	4	0	0	0	1
chr1	21090934	21091719	1	4	0	0	0	1
chr1	21114913	21115628	1	4	0	0	0	1
chr1	21212352	21212624	1	4	0	0	0	1
chr1	21252033	21252827	1	4	0	0	0	1
chr1	21379023	21379676	1	4	0	0	0	1
chr1	21488378	21488652	1	4	0	0	0	1
chr1	21586768	21587327	1	4	0	0	0	1
chr1	21635012	21635396	1	4	0	0	0	1
chr1	21638424	21638492	1	4	0	0	0	1
chr1	21638492	21638776	2	3,4	0	0	1	1
chr1	21638776	21639329	1	4	0	0	0	1
chr1	21676367	21676931	1	4	0	0	0	1
chr1	21921208	21921946	1	4	0	0	0	1
chr1	21923768	21924205	1	4	0	0	0	1
chr1	21956616	21957605	1	4	0	0	0	1
chr1	22219294	22219993	1	4	0	0	0	1
chr1	22252049	22252503	1	4	0	0	0	1
chr1	22275104	22275474	1	4	0	0	0	1
chr1	22412654	22413175	1	4	0	0	0	1
chr1	22488702	22489061	1	4	0	0	0	1
chr1	22515911	22516164	1	3	0	0	1	0
chr1	22605566	22606185	1	4	0	0	0	1
chr1	22739923	22740238	1	4	0	0	0	1
chr1	22828716	22829366	1	4	0	0	0	1
chr1	22831884	22832158	1	4	0	0	0	1
chr1	22943945	22944653	1	4	0	0	0	1
chr1	23000305	23000596	1	3	0	0	1	0
chr1	23054941	23055400	1	4	0	0	0	1
chr1	23099962	23100411	1	4	0	0	0	1
chr1	23110215	23110566	1	3	0	0	1	0
chr1	23122251	23122652	1	4	0	0	0	1
chr1	23188873	23189162	1	4	0	0	0	1
chr1	23248859	23249168	1	4	0	0	0	1
chr1	23432550	23432858	1	3	0	0	1	0
chr1	23451755	23452436	1	4	0	0	0	1
chr1	23500355	23500830	1	4	0	0	0	1
chr1	23531407	23531737	1	4	0	0	0	1
chr1	23571624	23572004	1	4	0	0	0	1
chr1	23809610	23810332	1	4	0	0	0	1
chr1	23904638	23904999	1	4	0	0	0	1
chr1	23951655	23951926	1	4	0	0	0	1
chr1	23998705	23999004	1	1	1	0	0	0
chr1	24257448	24258022	1	4	0	0	0	1
chr1	24266444	24267121	1	4	0	0	0	1
chr1	24295003	24295455	1	4	0	0	0	1
chr1	24309542	24310112	1	4	0	0	0	1
chr1	24459318	24459678	1	4	0	0	0	1
chr1	24544199	24544367	1	4	0	0	0	1
chr1	24544367	24544568	2	2,4	0	1	0	1
chr1	24544568	24544708	1	4	0	0	0	1
chr1	24568079	24568500	1	4	0	0	0	1
chr1	24764862	24765858	1	4	0	0	0	1
chr1	24952663	24952936	1	4	0	0	0	1
chr1	24996930	24997343	1	3	0	0	1	0
chr1	25145932	25146271	1	4	0	0	0	1
chr1	25549890	25550587	1	4	0	0	0	1
chr1	25568205	25568499	1	4	0	0	0	1
chr1	25573429	25574165	1	4	0	0	0	1
chr1	25692382	25692711	1	4	0	0	0	1
chr1	25694984	25694993	1	4	0	0	0	1
chr1	25694993	25695279	2	3,4	0	0	1	1
chr1	25695279	25695535	1	4	0	0	0	1
chr1	25730254	25730737	1	4	0	0	0	1
chr1	25892418	25892704	1	4	0	0	0	1
chr1	26049628	26050324	1	4	0	0	0	1
chr1	26094678	26095241	1	4	0	0	0	1
chr1	26167078	26167339	1	3	0	0	1	0
chr1	26275620	26275923	1	4	0	0	0	1
chr1	26291072	26291405	1	4	0	0	0	1
chr1	26306383	26306655	1	4	0	0	0	1
chr1	26431812	26432568	1	4	0	0	0	1
chr1	26723656	26724075	1	4	0	0	0	1
chr1	27010783	27011417	1	4	0	0	0	1
chr1	27021290	27021738	1	4	0	0	0	1
chr1	27027565	27028181	1	4	0	0	0	1
chr1	27045833	27046149	1	4	0	0	0	1
chr1	27137536	27138103	1	4	0	0	0	1
chr1	27542596	27542895	1	4	0	0	0	1
chr1	27570853	27571234	1	4	0	0	0	1
chr1	27651016	27651340	1	4	0	0	0	1
chr1	27725311	27725767	1	4	0	0	0	1
chr1	27863011	27863335	1	4	0	0	0	1
chr1	27874963	27875747	1	4	0	0	0	1
chr1	27968541	27969164	1	4	0	0	0	1
chr1	28015612	28015928	1	4	0	0	0	1
chr1	28055977	28056385	1	4	0	0	0	1
chr1	28129219	28129517	1	4	0	0	0	1
chr1	28232777	28233069	1	4	0	0	0	1
chr1	28233069	28233268	2	2,4	0	1	0	1
chr1	28233268	28233313	1	2	0	1	0	0
chr1	28296808	28297385	1	4	0	0	0	1
chr1	28354444	28354741	1	4	0	0	0	1
chr1	28471371	28471853	1	4	0	0	0	1
chr1	28526781	28527428	1	4	0	0	0	1
chr1	28552560	28552921	1	4	0	0	0	1
chr1	28681303	28681615	1	4	0	0	0	1
chr1	28860394	28861041	1	4	0	0	0	1
chr1	28871893	28872482	1	4	0	0	0	1
chr1	28884863	28885264	1	4	0	0	0	1
chr1	28972582	28972863	1	4	0	0	0	1
chr1	29017096	29017413	1	1	1	0	0	0
chr1	29105858	29106480	1	4	0	0	0	1
chr1	29149751	29150090	1	4	0	0	0	1
chr1	29227389	29227694	1	4	0	0	0	1
chr1	29379124	29379405	1	4	0	0	0	1
chr1	29513172	29513471	1	4	0	0	0	1
chr1	29554230	29554534	1	3	0	0	1	0
chr1	29570046	29570481	1	4	0	0	0	1
chr1	29640051	29640438	1	4	0	0	0	1
chr1	29780710	29780900	1	4	0	0	0	1
chr1	29780900	29781279	2	3,4	0	0	1	1
chr1	29781279	29781281	1	3	0	0	1	0
chr1	29974095	29974836	1	4	0	0	0	1
chr1	29985099	29985833	1	4	0	0	0	1
chr1	29993132	29993452	1	4	0	0	0	1
chr1	30005924	30006594	1	4	0	0	0	1
chr1	30059194	30059607	1	4	0	0	0	1
chr1	30089445	30089737	1	4	0	0	0	1
chr1	30432074	30432390	1	4	0	0	0	1
chr1	30560197	30560586	1	4	0	0	0	1
chr1	30763476	30763842	1	4	0	0	0	1
chr1	30807567	30808030	1	4	0	0	0	1
chr1	30816416	30816857	1	4	0	0	0	1
chr1	30824070	30824726	1	4	0	0	0	1
chr1	30886962	30887767	1	4	0	0	0	1
chr1	30923477	30923838	1	4	0	0	0	1
chr1	30957795	30958092	1	3	0	0	1	0
