chrom	start	end	num	list	/hpc/pmc_drost/PROJECTS/swang/CUT_RUN/nhung_test/peakCalling/SCC-ChIC-PMC-DRO-L1/narrow/SCC-ChIC-PMC-DRO-L1_paired_control_peaks.narrowPeak	/hpc/pmc_drost/PROJECTS/swang/CUT_RUN/nhung_test/peakCalling/SCC-ChIC-PMC-DRO-L5/narrow/SCC-ChIC-PMC-DRO-L5_paired_control_peaks.narrowPeak	/hpc/pmc_drost/PROJECTS/swang/CUT_RUN/nhung_test/peakCalling/bulkChIC-PMC-DRO-014/narrow/bulkChIC-PMC-DRO-014_paired_control_peaks.narrowPeak	/hpc/pmc_drost/PROJECTS/swang/CUT_RUN/nhung_test/peakCalling/SCC-bulkChIC-PMC-DRO-005/narrow/SCC-bulkChIC-PMC-DRO-005_paired_control_peaks.narrowPeak
KI270467.1	2690	2751	1	3	0	0	1	0
KI270467.1	2751	3739	2	3,4	0	0	1	1
KI270467.1	3739	3747	1	4	0	0	0	1
KI270512.1	21193	21796	1	3	0	0	1	0
KI270517.1	2777	3107	1	3	0	0	1	0
KI270538.1	27152	27433	1	4	0	0	0	1
KI270538.1	31050	31386	1	4	0	0	0	1
KI270589.1	42350	42734	1	3	0	0	1	0
KI270591.1	4095	4389	1	3	0	0	1	0
KI270709.1	1749	1791	1	4	0	0	0	1
KI270709.1	1791	2083	2	3,4	0	0	1	1
KI270709.1	2083	2085	1	3	0	0	1	0
KI270709.1	2760	3039	1	3	0	0	1	0
KI270709.1	17833	18098	1	4	0	0	0	1
KI270716.1	342	946	1	4	0	0	0	1
KI270716.1	1298	1597	1	3	0	0	1	0
KI270722.1	193034	193394	1	3	0	0	1	0
KI270729.1	22943	23334	1	4	0	0	0	1
KI270729.1	28470	28918	1	4	0	0	0	1
KI270729.1	35083	35368	1	4	0	0	0	1
KI270729.1	37089	37573	1	4	0	0	0	1
KI270729.1	43561	43842	1	3	0	0	1	0
KI270729.1	48493	48861	1	4	0	0	0	1
KI270729.1	52942	53503	1	4	0	0	0	1
KI270729.1	121714	122288	1	3	0	0	1	0
KI270729.1	126241	126699	1	4	0	0	0	1
KI270729.1	138298	138568	1	4	0	0	0	1
KI270729.1	155708	156044	1	4	0	0	0	1
KI270729.1	163402	163679	1	3	0	0	1	0
KI270729.1	164959	165279	1	4	0	0	0	1
KI270729.1	168997	169295	1	4	0	0	0	1
KI270730.1	35276	35553	1	4	0	0	0	1
KI270730.1	104672	104956	1	4	0	0	0	1
KI270733.1	145925	146434	1	4	0	0	0	1
KI270733.1	146434	146485	2	3,4	0	0	1	1
KI270733.1	146485	147018	1	3	0	0	1	0
KI270733.1	149172	149436	1	3	0	0	1	0
KI270733.1	149916	149982	1	4	0	0	0	1
KI270733.1	149982	150599	2	3,4	0	0	1	1
KI270733.1	150599	150772	1	4	0	0	0	1
KI270736.1	71732	71992	1	4	0	0	0	1
KI270736.1	79702	79954	1	4	0	0	0	1
KI270736.1	82973	83223	1	4	0	0	0	1
KI270736.1	104017	104301	1	3	0	0	1	0
KI270736.1	111007	111261	1	4	0	0	0	1
KI270736.1	127303	127568	1	2	0	1	0	0
KI270736.1	139947	140205	1	4	0	0	0	1
KI270736.1	157186	157437	1	4	0	0	0	1
KI270736.1	158337	158672	1	4	0	0	0	1
KI270736.1	166327	166338	1	3	0	0	1	0
KI270736.1	166338	166642	2	3,4	0	0	1	1
KI270736.1	166642	166958	1	3	0	0	1	0
KI270736.1	171836	172487	1	4	0	0	0	1
KI270736.1	179689	179950	1	3	0	0	1	0
KI270737.1	73199	73595	1	4	0	0	0	1
KI270738.1	28568	28967	1	4	0	0	0	1
KI270738.1	30165	30450	1	3	0	0	1	0
KI270738.1	32550	32824	1	4	0	0	0	1
KI270738.1	33947	34237	1	3	0	0	1	0
KI270738.1	71872	72149	1	4	0	0	0	1
KI270738.1	77639	78075	1	4	0	0	0	1
KI270744.1	108117	108817	1	4	0	0	0	1
KI270744.1	110622	110973	1	4	0	0	0	1
KI270747.1	61238	61641	1	4	0	0	0	1
KI270750.1	25277	25573	1	4	0	0	0	1
KI270751.1	149776	150136	1	4	0	0	0	1
KI270756.1	16628	16999	1	3	0	0	1	0
KI270757.1	66048	66335	1	4	0	0	0	1
KI270757.1	67070	67480	1	4	0	0	0	1
chr1	633123	633534	1	4	0	0	0	1
chr1	1079582	1079846	1	4	0	0	0	1
chr1	1130338	1130673	1	4	0	0	0	1
chr1	1758552	1758920	1	4	0	0	0	1
chr1	2578253	2578919	1	4	0	0	0	1
chr1	3213914	3214171	1	4	0	0	0	1
chr1	3306840	3306963	1	4	0	0	0	1
chr1	3306963	3307188	2	1,4	1	0	0	1
chr1	4264272	4264544	1	4	0	0	0	1
chr1	4716304	4716615	1	3	0	0	1	0
chr1	4745531	4745881	1	4	0	0	0	1
chr1	4990526	4990817	1	4	0	0	0	1
chr1	5069717	5069992	1	4	0	0	0	1
chr1	5090104	5090375	1	3	0	0	1	0
chr1	5283965	5284262	1	1	1	0	0	0
chr1	5386740	5386993	1	4	0	0	0	1
chr1	5488156	5488220	1	3	0	0	1	0
chr1	5488220	5488508	2	3,4	0	0	1	1
chr1	5488508	5488517	1	4	0	0	0	1
chr1	5558720	5559004	1	3	0	0	1	0
chr1	6026228	6026550	1	4	0	0	0	1
chr1	6273498	6273824	1	4	0	0	0	1
chr1	6603397	6603684	1	4	0	0	0	1
chr1	6841175	6841514	1	4	0	0	0	1
chr1	7224613	7224862	1	4	0	0	0	1
chr1	7267668	7267759	1	3	0	0	1	0
chr1	7267759	7268015	2	3,4	0	0	1	1
chr1	7268015	7268089	1	3	0	0	1	0
chr1	7401665	7401938	1	4	0	0	0	1
chr1	7469474	7469826	1	4	0	0	0	1
chr1	7885086	7885350	1	4	0	0	0	1
chr1	8154512	8154839	1	4	0	0	0	1
chr1	8202237	8202502	1	4	0	0	0	1
chr1	8555105	8555445	1	4	0	0	0	1
chr1	8603974	8604420	1	4	0	0	0	1
chr1	8606084	8606363	1	2	0	1	0	0
chr1	9303433	9303754	1	4	0	0	0	1
chr1	9315666	9316008	1	4	0	0	0	1
chr1	9476715	9477305	1	4	0	0	0	1
chr1	9561352	9561661	1	4	0	0	0	1
chr1	9671257	9671752	1	4	0	0	0	1
chr1	10605942	10606707	1	4	0	0	0	1
chr1	10661807	10662079	1	4	0	0	0	1
chr1	10686157	10686580	1	4	0	0	0	1
chr1	10737210	10737591	1	4	0	0	0	1
chr1	10870782	10871073	1	3	0	0	1	0
chr1	10975744	10976269	1	4	0	0	0	1
chr1	11180429	11180756	1	4	0	0	0	1
chr1	11806134	11806407	1	4	0	0	0	1
chr1	12143709	12144008	1	4	0	0	0	1
chr1	12214559	12214876	1	3	0	0	1	0
chr1	12385928	12386018	1	4	0	0	0	1
chr1	12386018	12386646	2	3,4	0	0	1	1
chr1	12386646	12386879	1	4	0	0	0	1
chr1	12387834	12388136	1	4	0	0	0	1
chr1	12416717	12417220	1	4	0	0	0	1
chr1	12454602	12455459	1	4	0	0	0	1
chr1	12477765	12478389	1	4	0	0	0	1
chr1	12549659	12550244	1	4	0	0	0	1
chr1	12851618	12851996	1	4	0	0	0	1
chr1	13956436	13956792	1	4	0	0	0	1
chr1	14071858	14072124	1	4	0	0	0	1
chr1	14190345	14190450	1	4	0	0	0	1
chr1	14190450	14191028	2	3,4	0	0	1	1
chr1	14191028	14191111	1	4	0	0	0	1
chr1	14214553	14214907	1	4	0	0	0	1
chr1	14443745	14444045	1	4	0	0	0	1
chr1	14543644	14543957	1	4	0	0	0	1
chr1	14553664	14553949	1	4	0	0	0	1
chr1	14576084	14576357	1	4	0	0	0	1
chr1	14697025	14697368	1	4	0	0	0	1
chr1	14760038	14760320	1	4	0	0	0	1
chr1	14871768	14872075	1	4	0	0	0	1
chr1	14929669	14929939	1	4	0	0	0	1
chr1	14955219	14955577	1	4	0	0	0	1
chr1	14961818	14962365	1	4	0	0	0	1
chr1	14968322	14968721	1	4	0	0	0	1
chr1	14970148	14970416	1	4	0	0	0	1
chr1	15005008	15005282	1	3	0	0	1	0
chr1	15028142	15028772	1	4	0	0	0	1
chr1	15174241	15174674	1	4	0	0	0	1
chr1	15703646	15704171	1	4	0	0	0	1
chr1	15890791	15891069	1	4	0	0	0	1
chr1	16717401	16717942	1	4	0	0	0	1
chr1	16720658	16721245	1	4	0	0	0	1
chr1	17128214	17128717	1	4	0	0	0	1
chr1	17226363	17226670	1	4	0	0	0	1
chr1	17233657	17233933	1	4	0	0	0	1
chr1	17370610	17371074	1	4	0	0	0	1
chr1	17377171	17377869	1	4	0	0	0	1
chr1	17416940	17417230	1	3	0	0	1	0
chr1	17559535	17559900	1	4	0	0	0	1
chr1	17717201	17717608	1	4	0	0	0	1
chr1	18245073	18245454	1	4	0	0	0	1
chr1	18372196	18372560	1	4	0	0	0	1
chr1	18452774	18453244	1	4	0	0	0	1
chr1	18480411	18480420	1	4	0	0	0	1
chr1	18480420	18480709	2	3,4	0	0	1	1
chr1	18480709	18480710	1	4	0	0	0	1
chr1	18539095	18539822	1	4	0	0	0	1
chr1	18825846	18826133	1	4	0	0	0	1
chr1	18858282	18858849	1	4	0	0	0	1
chr1	18937219	18937567	1	4	0	0	0	1
chr1	19009916	19010344	1	4	0	0	0	1
chr1	19737196	19737790	1	4	0	0	0	1
chr1	19758347	19758402	1	4	0	0	0	1
chr1	19758402	19758697	2	3,4	0	0	1	1
chr1	19758697	19758797	1	4	0	0	0	1
chr1	20077046	20077330	1	4	0	0	0	1
chr1	20255821	20256084	1	4	0	0	0	1
chr1	20426670	20426859	1	4	0	0	0	1
chr1	20426859	20427448	2	3,4	0	0	1	1
chr1	20427448	20427488	1	4	0	0	0	1
chr1	20733237	20733515	1	4	0	0	0	1
chr1	20875555	20876129	1	4	0	0	0	1
chr1	21252280	21252584	1	4	0	0	0	1
chr1	21379023	21379537	1	4	0	0	0	1
chr1	21488381	21488652	1	4	0	0	0	1
chr1	21586779	21587305	1	4	0	0	0	1
chr1	21638427	21638771	2	3,4	0	0	1	1
chr1	21638771	21638800	1	4	0	0	0	1
chr1	21676455	21676758	1	4	0	0	0	1
chr1	22219412	22219712	1	4	0	0	0	1
chr1	22250077	22250341	1	4	0	0	0	1
chr1	22608048	22608317	1	4	0	0	0	1
chr1	22828863	22829168	1	4	0	0	0	1
chr1	23248499	23249159	1	4	0	0	0	1
chr1	23571607	23571997	1	4	0	0	0	1
chr1	23809918	23810290	1	4	0	0	0	1
chr1	24112448	24112843	1	4	0	0	0	1
chr1	24128686	24128975	1	4	0	0	0	1
chr1	24257409	24257878	1	4	0	0	0	1
chr1	24266450	24267084	1	4	0	0	0	1
chr1	24544367	24544615	1	4	0	0	0	1
chr1	24765423	24765749	1	4	0	0	0	1
chr1	25101253	25101548	1	4	0	0	0	1
chr1	25573467	25574051	1	4	0	0	0	1
chr1	25694996	25695279	1	4	0	0	0	1
chr1	25730293	25730713	1	4	0	0	0	1
chr1	26431848	26432566	1	4	0	0	0	1
chr1	27010799	27011418	1	4	0	0	0	1
chr1	27725427	27725734	1	4	0	0	0	1
chr1	27875310	27875747	1	4	0	0	0	1
chr1	28129220	28129517	1	4	0	0	0	1
chr1	28232795	28233253	1	4	0	0	0	1
chr1	28354454	28354716	1	4	0	0	0	1
chr1	28538169	28538434	1	4	0	0	0	1
chr1	28860392	28860464	1	4	0	0	0	1
chr1	28860464	28860858	2	3,4	0	0	1	1
chr1	28860858	28860935	1	4	0	0	0	1
chr1	28884864	28885257	1	4	0	0	0	1
chr1	29227414	29227694	1	3	0	0	1	0
chr1	29554217	29554486	1	4	0	0	0	1
chr1	29769951	29770215	1	3	0	0	1	0
chr1	29974204	29974573	1	4	0	0	0	1
chr1	29994149	29994402	1	4	0	0	0	1
chr1	30006044	30006534	1	4	0	0	0	1
chr1	30246043	30246312	1	3	0	0	1	0
chr1	30291505	30291840	1	4	0	0	0	1
chr1	30340897	30341200	1	4	0	0	0	1
chr1	30529137	30529392	1	4	0	0	0	1
chr1	30722239	30722643	1	4	0	0	0	1
chr1	30725286	30725573	1	4	0	0	0	1
chr1	30887207	30887551	1	4	0	0	0	1
chr1	31152359	31152611	1	4	0	0	0	1
chr1	31471740	31472021	1	4	0	0	0	1
chr1	31483253	31483762	1	4	0	0	0	1
chr1	31584040	31584557	1	4	0	0	0	1
chr1	31816050	31816358	1	4	0	0	0	1
chr1	31867860	31868110	1	4	0	0	0	1
chr1	31954528	31955085	1	4	0	0	0	1
chr1	32013345	32013640	1	4	0	0	0	1
chr1	32133149	32133319	1	4	0	0	0	1
chr1	32133319	32133498	2	3,4	0	0	1	1
chr1	32133498	32133737	3	2,3,4	0	1	1	1
chr1	32133737	32133753	2	2,4	0	1	0	1
chr1	32133753	32133770	1	4	0	0	0	1
chr1	32350790	32351115	1	4	0	0	0	1
chr1	32394298	32394710	1	4	0	0	0	1
chr1	32406784	32407311	1	4	0	0	0	1
chr1	32798177	32798524	1	4	0	0	0	1
chr1	32912837	32913132	1	4	0	0	0	1
chr1	33012197	33012509	1	4	0	0	0	1
chr1	33754559	33754839	1	3	0	0	1	0
chr1	34234395	34234669	1	3	0	0	1	0
chr1	34261455	34261764	1	3	0	0	1	0
chr1	34292146	34292437	1	4	0	0	0	1
chr1	34392685	34392955	1	3	0	0	1	0
chr1	34590083	34590716	1	4	0	0	0	1
chr1	34711566	34711962	1	4	0	0	0	1
chr1	34852580	34852861	1	4	0	0	0	1
chr1	35005726	35006103	1	4	0	0	0	1
chr1	35449273	35449694	1	4	0	0	0	1
chr1	36031532	36031780	1	4	0	0	0	1
chr1	36149106	36149783	1	4	0	0	0	1
chr1	36332460	36332720	1	4	0	0	0	1
chr1	36432545	36433174	1	4	0	0	0	1
chr1	36617743	36618626	1	4	0	0	0	1
chr1	36650316	36650716	1	4	0	0	0	1
chr1	36650716	36651018	2	3,4	0	0	1	1
chr1	36651018	36651045	1	4	0	0	0	1
chr1	36703479	36703621	1	4	0	0	0	1
chr1	36703621	36704164	2	3,4	0	0	1	1
chr1	36704164	36704229	1	4	0	0	0	1
chr1	36848495	36848817	1	4	0	0	0	1
chr1	37415821	37416190	1	3	0	0	1	0
chr1	38012354	38013004	1	4	0	0	0	1
chr1	38374511	38374798	1	4	0	0	0	1
chr1	38442157	38442496	1	4	0	0	0	1
chr1	38478459	38478873	1	4	0	0	0	1
chr1	38786527	38786802	1	4	0	0	0	1
chr1	39128796	39129317	1	4	0	0	0	1
chr1	39178488	39178771	1	4	0	0	0	1
chr1	39398452	39398856	1	4	0	0	0	1
chr1	39653426	39653568	1	4	0	0	0	1
chr1	39653568	39654086	2	3,4	0	0	1	1
chr1	39730268	39730602	1	4	0	0	0	1
chr1	39816792	39817053	1	4	0	0	0	1
chr1	39817467	39817716	1	4	0	0	0	1
chr1	40014122	40014461	1	4	0	0	0	1
chr1	40439217	40439670	1	4	0	0	0	1
chr1	40736171	40736420	1	4	0	0	0	1
chr1	40740415	40740683	1	4	0	0	0	1
chr1	40853171	40853566	1	4	0	0	0	1
chr1	40877619	40878159	1	4	0	0	0	1
chr1	40902111	40902428	1	4	0	0	0	1
chr1	40919352	40919908	1	4	0	0	0	1
chr1	41003554	41003829	1	4	0	0	0	1
chr1	41123043	41123718	1	4	0	0	0	1
chr1	41353719	41354259	1	4	0	0	0	1
chr1	41449641	41449922	1	4	0	0	0	1
chr1	41486370	41486659	1	4	0	0	0	1
chr1	41672258	41672897	1	4	0	0	0	1
chr1	41731891	41732144	1	4	0	0	0	1
chr1	41738871	41739523	1	4	0	0	0	1
chr1	41773036	41773546	1	4	0	0	0	1
chr1	41955521	41955880	1	4	0	0	0	1
chr1	42143248	42143513	1	4	0	0	0	1
chr1	43057364	43057772	1	4	0	0	0	1
chr1	43145763	43146015	1	4	0	0	0	1
chr1	43162846	43163153	1	4	0	0	0	1
chr1	43241696	43241952	1	4	0	0	0	1
chr1	43294399	43294857	1	4	0	0	0	1
chr1	43529169	43529467	1	4	0	0	0	1
chr1	43582112	43582408	1	4	0	0	0	1
chr1	43695534	43695845	1	3	0	0	1	0
chr1	44072653	44072944	1	4	0	0	0	1
chr1	44327500	44327501	1	3	0	0	1	0
chr1	44327501	44327780	2	3,4	0	0	1	1
chr1	44327780	44327808	1	4	0	0	0	1
chr1	44517184	44517446	1	4	0	0	0	1
chr1	44571900	44571914	1	4	0	0	0	1
chr1	44571914	44572217	2	3,4	0	0	1	1
chr1	44572217	44572227	1	3	0	0	1	0
chr1	45011912	45012185	1	4	0	0	0	1
chr1	45282145	45282529	1	4	0	0	0	1
chr1	45410660	45410946	1	4	0	0	0	1
chr1	46132965	46133213	1	4	0	0	0	1
chr1	46806935	46807310	1	4	0	0	0	1
chr1	47560251	47560757	1	4	0	0	0	1
chr1	47701474	47701748	1	4	0	0	0	1
chr1	47731560	47731901	1	4	0	0	0	1
chr1	47804496	47804770	1	4	0	0	0	1
chr1	48172014	48172337	1	4	0	0	0	1
chr1	48329229	48329503	1	2	0	1	0	0
chr1	48360943	48361280	1	4	0	0	0	1
chr1	48389830	48390287	1	4	0	0	0	1
chr1	48608247	48608579	1	3	0	0	1	0
chr1	48842715	48843015	1	3	0	0	1	0
chr1	48873454	48873883	1	4	0	0	0	1
chr1	48940758	48941005	1	4	0	0	0	1
chr1	49131813	49132155	1	4	0	0	0	1
chr1	49163843	49164090	1	4	0	0	0	1
chr1	49228479	49228732	1	4	0	0	0	1
chr1	49241958	49242276	1	4	0	0	0	1
chr1	49355688	49355901	1	1	1	0	0	0
chr1	49454155	49454449	1	3	0	0	1	0
chr1	49481113	49481365	1	4	0	0	0	1
chr1	49502289	49502587	1	3	0	0	1	0
chr1	49521166	49521459	1	3	0	0	1	0
chr1	49614420	49614736	1	3	0	0	1	0
chr1	49617380	49617654	1	4	0	0	0	1
chr1	49659165	49659446	1	4	0	0	0	1
chr1	49772061	49772320	1	4	0	0	0	1
chr1	49892558	49892565	1	4	0	0	0	1
chr1	49892565	49892810	2	3,4	0	0	1	1
chr1	49892810	49892862	1	3	0	0	1	0
chr1	50270339	50270689	1	4	0	0	0	1
chr1	50312332	50312721	1	4	0	0	0	1
chr1	51297737	51297985	1	4	0	0	0	1
chr1	51314167	51314834	1	4	0	0	0	1
chr1	51316389	51316636	1	4	0	0	0	1
chr1	51667377	51667897	1	4	0	0	0	1
chr1	51753759	51754377	1	4	0	0	0	1
chr1	51762639	51762938	1	4	0	0	0	1
chr1	51909797	51910064	1	4	0	0	0	1
chr1	52005968	52006372	1	4	0	0	0	1
chr1	52191578	52191759	1	4	0	0	0	1
chr1	52191759	52192031	2	3,4	0	0	1	1
chr1	52192031	52192154	1	4	0	0	0	1
chr1	52456675	52456940	1	3	0	0	1	0
chr1	52702865	52703508	1	4	0	0	0	1
chr1	53050562	53050815	1	4	0	0	0	1
chr1	53572297	53572561	1	4	0	0	0	1
chr1	53631724	53632045	1	4	0	0	0	1
chr1	53670487	53671096	1	4	0	0	0	1
chr1	54080522	54081140	1	4	0	0	0	1
chr1	54081509	54081760	1	4	0	0	0	1
chr1	54249829	54250405	1	4	0	0	0	1
chr1	54347553	54347956	1	4	0	0	0	1
chr1	54509415	54509686	1	4	0	0	0	1
chr1	54577311	54578093	1	4	0	0	0	1
chr1	54579192	54579583	1	4	0	0	0	1
chr1	54646824	54647087	1	4	0	0	0	1
chr1	54939902	54939904	1	4	0	0	0	1
chr1	54939904	54940400	2	3,4	0	0	1	1
chr1	54940400	54940481	1	4	0	0	0	1
chr1	54952913	54953431	1	4	0	0	0	1
chr1	55384613	55385304	1	4	0	0	0	1
chr1	55429200	55429529	1	4	0	0	0	1
chr1	55443842	55444136	1	4	0	0	0	1
chr1	55473044	55473414	1	4	0	0	0	1
chr1	55480377	55480642	1	4	0	0	0	1
chr1	55480642	55480998	2	3,4	0	0	1	1
chr1	55480998	55481057	1	4	0	0	0	1
chr1	55697692	55697956	1	4	0	0	0	1
chr1	55781744	55782220	1	4	0	0	0	1
chr1	55909298	55909551	1	4	0	0	0	1
chr1	55968449	55968891	1	4	0	0	0	1
chr1	56025774	56026246	1	4	0	0	0	1
chr1	56029210	56029481	1	4	0	0	0	1
chr1	56238209	56238497	1	3	0	0	1	0
chr1	56311458	56311717	1	4	0	0	0	1
chr1	56491280	56491558	1	4	0	0	0	1
chr1	56508530	56508936	1	4	0	0	0	1
chr1	56676638	56677049	1	4	0	0	0	1
chr1	56754751	56755242	1	3	0	0	1	0
chr1	56758211	56758543	1	4	0	0	0	1
chr1	56864108	56864394	1	4	0	0	0	1
chr1	56897879	56898166	1	4	0	0	0	1
chr1	56911133	56911382	1	4	0	0	0	1
chr1	56916143	56916528	1	4	0	0	0	1
chr1	56919767	56920109	1	4	0	0	0	1
chr1	57088619	57088948	1	4	0	0	0	1
chr1	57531303	57531604	1	4	0	0	0	1
chr1	57655255	57655643	1	3	0	0	1	0
chr1	57709395	57709697	1	3	0	0	1	0
chr1	57848426	57848912	1	4	0	0	0	1
chr1	57883840	57884140	1	4	0	0	0	1
chr1	58290802	58291101	1	4	0	0	0	1
chr1	58432636	58432908	1	4	0	0	0	1
chr1	58432908	58433287	2	3,4	0	0	1	1
chr1	58433287	58433318	1	4	0	0	0	1
chr1	59151325	59151593	1	4	0	0	0	1
chr1	59184204	59184507	1	4	0	0	0	1
chr1	59220452	59220743	1	4	0	0	0	1
chr1	59280382	59280692	1	4	0	0	0	1
chr1	59401482	59401759	1	4	0	0	0	1
chr1	59521341	59521593	1	4	0	0	0	1
chr1	59556802	59557387	1	4	0	0	0	1
chr1	59605682	59605974	1	4	0	0	0	1
chr1	59750478	59750855	1	4	0	0	0	1
chr1	59750855	59751122	2	3,4	0	0	1	1
chr1	59751122	59751123	1	4	0	0	0	1
chr1	59769440	59769856	1	3	0	0	1	0
chr1	59892787	59893286	1	4	0	0	0	1
chr1	60162781	60163100	1	4	0	0	0	1
chr1	60670507	60670762	1	4	0	0	0	1
chr1	60679824	60680432	1	4	0	0	0	1
chr1	60727090	60728204	1	4	0	0	0	1
chr1	60748600	60748856	1	4	0	0	0	1
chr1	60765340	60765609	1	4	0	0	0	1
chr1	60812945	60813280	1	4	0	0	0	1
chr1	61436660	61436914	1	4	0	0	0	1
chr1	61485533	61485782	1	4	0	0	0	1
chr1	61486599	61486852	1	4	0	0	0	1
chr1	61919208	61919460	1	4	0	0	0	1
chr1	62146938	62147189	1	4	0	0	0	1
chr1	62260037	62260534	1	4	0	0	0	1
chr1	62424487	62425151	1	4	0	0	0	1
chr1	62621930	62622500	1	4	0	0	0	1
chr1	62778074	62778394	1	4	0	0	0	1
chr1	62844880	62845134	1	4	0	0	0	1
chr1	62990973	62991574	1	4	0	0	0	1
chr1	63290869	63291218	1	4	0	0	0	1
chr1	63384782	63385069	1	3	0	0	1	0
chr1	63731661	63731978	1	4	0	0	0	1
chr1	63877436	63878355	1	4	0	0	0	1
chr1	63898354	63898604	1	4	0	0	0	1
chr1	63923857	63924112	1	4	0	0	0	1
chr1	63969522	63969598	1	4	0	0	0	1
chr1	63969598	63969873	2	3,4	0	0	1	1
chr1	63969873	63970074	1	3	0	0	1	0
chr1	64019597	64019747	1	4	0	0	0	1
chr1	64019747	64020008	2	3,4	0	0	1	1
chr1	64020008	64020385	1	4	0	0	0	1
chr1	64042741	64043216	1	3	0	0	1	0
chr1	64074200	64074479	1	4	0	0	0	1
chr1	64348874	64349315	1	4	0	0	0	1
chr1	64537911	64538316	1	4	0	0	0	1
chr1	64760385	64760638	1	4	0	0	0	1
chr1	65211570	65211898	1	4	0	0	0	1
chr1	65247953	65248454	1	4	0	0	0	1
chr1	65965392	65965578	1	4	0	0	0	1
chr1	65965578	65965881	2	3,4	0	0	1	1
chr1	65965881	65966032	1	4	0	0	0	1
chr1	65997886	65998196	1	4	0	0	0	1
chr1	66054718	66054978	1	4	0	0	0	1
chr1	66069661	66070028	1	3	0	0	1	0
chr1	66254457	66254812	1	4	0	0	0	1
chr1	66398137	66398430	1	4	0	0	0	1
chr1	66502342	66502599	1	4	0	0	0	1
